email;passwordSalt;passwordHash;tipo;ativo
20260013@issmf.ipp.pt;oPGzu8pacnwlOw0eAdysxQ==;/RBeONGiPQRo/9IoE9CBD22Y+FcxcZ92dOZX8XIucnQ=;ESTUDANTE;true
20260014@issmf.ipp.pt;PybYH8mIIMd3EBLV9Pug5A==;NJlstNLJMFgUWpIsEbSPPU4RBtk62GO4JmlyEapxpLY=;ESTUDANTE;true
20260015@issmf.ipp.pt;ri+ejR/WjTCvgyYnO+XA+g==;t1pEodRID74+7YIhbQtC9/U0Ek3nb99KA6sof7cIj6A=;ESTUDANTE;true
20260016@issmf.ipp.pt;G1WiITlWWjZ7usWKTwJGtQ==;CfhEU8JC4uYZjBhU14IHjZG3wWzW3A/8AGFwW9Y/RRU=;ESTUDANTE;true
20260017@issmf.ipp.pt;TkbXvr6YK4sPhFF/BFYkKQ==;a/gPzXZrVWcZq+WYAtaUgANb+ecIP6DrMsd9SFRvA0I=;ESTUDANTE;true
20260018@issmf.ipp.pt;oRbQP24uxOTepYfABcnrLg==;9lANFm2ExRHVTK2tREimsQ9LQWsUIkUDpYRqkE9vnqY=;ESTUDANTE;true
20260020@issmf.ipp.pt;0I0Cb58e0I2PA8fADk+/zg==;nIUWE/1j424jvehNbwM8n7/Fjb1Rr3BDLQByKBHeqpA=;ESTUDANTE;true
20260021@issmf.ipp.pt;h0zIshif3jl45PUn2FuEYQ==;0h0JNUT5fDmtN8ykhVoD8wfUjfT+qmeFIpwvVbLAwqg=;ESTUDANTE;true
20260022@issmf.ipp.pt;Pi8XPEgKg+tRcjCfsn36hQ==;oofduUvb1JXPY2dXhGH5xgto6cFhuzlhgCvERnRDzu0=;ESTUDANTE;true
20260023@issmf.ipp.pt;Sm0s4zZdPw5IqIA52a6xoQ==;l9PL13dnmDbgVvmkF2G1opN13LR97/jx1yE3nDPK4PE=;ESTUDANTE;true
20260024@issmf.ipp.pt;ibGAFa2BNnFGRMIARow3rg==;UgP3inx3GfcwUCXfU5bJafLRI5L2ZX3b7cBbPf3Stvs=;ESTUDANTE;true
20260025@issmf.ipp.pt;EEhKPCvWhASDU5K3xGyKrA==;QZVeukuzyflCrSoCBaBhAoDH+f2t7zhAfHYnoAMj1NA=;ESTUDANTE;true
20260026@issmf.ipp.pt;kk9do8L1uxfBq9Oev/jIuA==;V6tncc4LjX1JkspLdkBYLKLS1qPOTmhJciLo6HZzcBM=;ESTUDANTE;true
20260027@issmf.ipp.pt;GIs0UEw9UqgZnKqBeAqaCQ==;SS99lnfksqW80/5qVpMwJ/6ONt9pviFZkmLyc2knLqY=;ESTUDANTE;true
